# case_id	category	initial_fen	space-separated_uci_moves
castle_white_kingside	castling_white_kingside	r3k2r/8/8/8/8/8/8/R3K2R w KQkq - 0 1	e1g1
castle_white_queenside	castling_white_queenside	r3k2r/8/8/8/8/8/8/R3K2R w KQkq - 0 1	e1c1
castle_black_kingside	castling_black_kingside	r3k2r/8/8/8/8/8/8/R3K2R b KQkq - 0 1	e8g8
castle_black_queenside	castling_black_queenside	r3k2r/8/8/8/8/8/8/R3K2R b KQkq - 0 1	e8c8
en_passant_white	en_passant_white	4k3/8/8/3pP3/8/8/8/4K3 w - d6 0 1	e5d6
en_passant_black	en_passant_black	4k3/8/8/8/3Pp3/8/8/4K3 b - d3 0 1	e4d3
promote_white_queen	promotion_white_queen	4k3/P7/8/8/8/8/8/4K3 w - - 0 1	a7a8q
promote_white_rook	promotion_white_rook	4k3/P7/8/8/8/8/8/4K3 w - - 0 1	a7a8r
promote_white_bishop	promotion_white_bishop	4k3/P7/8/8/8/8/8/4K3 w - - 0 1	a7a8b
promote_white_knight	promotion_white_knight	4k3/P7/8/8/8/8/8/4K3 w - - 0 1	a7a8n
promote_black_queen	promotion_black_queen	4k3/8/8/8/8/8/p7/4K3 b - - 0 1	a2a1q
promote_black_rook	promotion_black_rook	4k3/8/8/8/8/8/p7/4K3 b - - 0 1	a2a1r
promote_black_bishop	promotion_black_bishop	4k3/8/8/8/8/8/p7/4K3 b - - 0 1	a2a1b
promote_black_knight	promotion_black_knight	4k3/8/8/8/8/8/p7/4K3 b - - 0 1	a2a1n
promote_capture_white_queen	promotion_capture_white_queen	1r2k3/P7/8/8/8/8/8/4K3 w - - 0 1	a7b8q
promote_capture_white_rook	promotion_capture_white_rook	1r2k3/P7/8/8/8/8/8/4K3 w - - 0 1	a7b8r
promote_capture_white_bishop	promotion_capture_white_bishop	1r2k3/P7/8/8/8/8/8/4K3 w - - 0 1	a7b8b
promote_capture_white_knight	promotion_capture_white_knight	1r2k3/P7/8/8/8/8/8/4K3 w - - 0 1	a7b8n
promote_capture_black_queen	promotion_capture_black_queen	4k3/8/8/8/8/8/p7/1R2K3 b - - 0 1	a2b1q
promote_capture_black_rook	promotion_capture_black_rook	4k3/8/8/8/8/8/p7/1R2K3 b - - 0 1	a2b1r
promote_capture_black_bishop	promotion_capture_black_bishop	4k3/8/8/8/8/8/p7/1R2K3 b - - 0 1	a2b1b
promote_capture_black_knight	promotion_capture_black_knight	4k3/8/8/8/8/8/p7/1R2K3 b - - 0 1	a2b1n
capture_corner_rook_a1	corner_rook_capture_a1	4k3/8/8/8/8/8/1b6/R3K3 b Q - 0 1	b2a1
capture_corner_rook_h1	corner_rook_capture_h1	4k3/8/8/8/8/8/6b1/4K2R b K - 0 1	g2h1
capture_corner_rook_a8	corner_rook_capture_a8	r3k3/1B6/8/8/8/8/8/4K3 w q - 0 1	b7a8
capture_corner_rook_h8	corner_rook_capture_h8	4k2r/6B1/8/8/8/8/8/4K3 w k - 0 1	g7h8
quiet_pawn	quiet_pawn	4k3/8/8/8/8/8/4P3/4K3 w - - 0 1	e2e3
double_pawn_push	double_pawn_push	4k3/8/8/8/8/8/4P3/4K3 w - - 0 1	e2e4
quiet_non_pawn	quiet_non_pawn	rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1	g1f3
ordinary_capture	ordinary_capture	4k3/8/8/3p4/4P3/8/8/4K3 w - - 0 1	e4d5
king_move	king_move	4k3/8/8/8/8/8/8/4K3 w - - 0 1	e1d1
rook_move_white_rights	rook_move_castling_rights_white	4k3/8/8/8/8/8/8/R3K3 w Q - 0 1	a1a2
rook_move_black_rights	rook_move_castling_rights_black	r3k3/8/8/8/8/8/8/4K3 b q - 0 1	a8a7
null_white	null_white	4k3/8/8/8/8/8/8/4K3 w - - 0 1	0000
null_black	null_black	4k3/8/8/8/8/8/8/4K3 b - - 0 1	0000
